item_code,item_description,item_type,total_sales,liquor_type
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,2.64,WHISKY
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,2.21,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,2.71,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,2.21,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,3.04,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.7,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,3.05,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,9.14,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.69,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.68,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.36,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.19,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.36,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.68,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.02,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.69,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.53,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.86,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,0.51,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,0.51,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,1.19,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,0.34,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,0.66,RUM
23973,ANGOSTURA RUM - 1919 - 750ML,LIQUOR,0.51,RUM
239738,WHEATLEY VODKA - 750ML,LIQUOR,0,VODKA
